Date,T-BILL,CANADA,JAPAN,FRANCE,GERMANY,ITALY,SWITZERLAND,UNITED KINGDOM ,USA ,WORLD
200812,0.00115,-0.031214465,0.080187553,0.084457717,0.128056978,0.067950259,0.086631078,-0.029876572,0.010160093,0.102556903
200901,0.0022,-0.037681581,-0.067987692,-0.142968971,-0.170644982,-0.139207806,-0.121547973,-0.062866646,-0.082774919,-0.026862729
200902,0.0025,-0.087908632,-0.124193315,-0.095445459,-0.125844848,-0.137492757,-0.113361301,-0.088925134,-0.10581598,-0.001688334
200903,0.002,0.090498463,0.012247699,0.082959004,0.10600798,0.069753421,0.076127803,0.032372314,0.083527778,0.049289701
200904,0.00125,0.136201527,0.096293162,0.125006653,0.153890515,0.184802911,0.063422468,0.1217101,0.094288777,0.046603647
200905,0.0013,0.210092249,0.102459598,0.103201753,0.078356799,0.11589269,0.093616621,0.132411778,0.052317562,0.010233153
200906,0.0018,-0.056338049,0.017221937,-0.045616969,-0.034360128,-0.048241047,-0.009540549,-0.016865959,0.000506693,-0.013734651
200907,0.00175,0.117798597,0.042445683,0.104049044,0.117728866,0.083406379,0.111146792,0.091321552,0.073907675,-0.089907959
200908,0.0013,-0.015956584,0.039116015,0.077641494,0.041699396,0.093352664,0.065107915,0.048867016,0.032383781,0.049310067
200909,0.00115,0.070212204,-0.023352416,0.061192516,0.058371567,0.067446803,0.036215671,0.026193372,0.037212405,0.012017285
200910,0.00045,-0.05315966,-0.025049568,-0.039964536,-0.039800863,-0.049591272,0.004732073,0.011968581,-0.020542797,0.022901557
200911,0.0005,0.07220251,-0.01013475,0.035795925,0.051389526,0.010150406,0.016701677,0.023479417,0.056944732,0.025242142
200912,0.0005,0.0289145,0.006964714,0.022364961,0.012101024,0.010744131,0.016374277,0.025566647,0.01900436,-0.007609607
201001,0.0007,-0.075561064,0.018954634,-0.073910934,-0.088662241,-0.084619596,-0.033409362,-0.048693916,-0.036046479,0.010733604
201002,0.00115,0.056547024,0.010852675,-0.023232109,-0.022254264,-0.055881054,0.018827619,-0.019870188,0.028497967,0.017491581
201003,0.0015,0.080504625,0.041894259,0.062158341,0.090462325,0.072818932,0.048521294,0.05539639,0.058296817,0.05003362
201004,0.00155,0.012524393,-0.001968881,-0.051588107,-0.026375735,-0.06973507,-0.05818718,-0.013544866,0.014972695,-0.000206337
