Date,T_BILL_3_MO,SP_FINANCE,SP_ENEGY,SP_MATERIALS,SP_CONSUM_DIS,SP_CONSUM_STAPLE,SP_HEALTH,SP_UTIL,SP_500,SP_INFO_TECH,SP_TELE_COMM
20001130,0.06010000228881836,-0.06010000228881836,-0.06010000228881836,-0.06010000228881836,-0.06010000228881836,-0.06010000228881836,-0.06010000228881836,-0.06010000228881836,-0.08019082978180544,-0.060148223039997346,-0.06010000228881836
20001231,0.05730000019073486,-0.05730000019073486,-0.05730000019073486,-0.05730000019073486,-0.05730000019073486,-0.05730000019073486,-0.05730000019073486,-0.05730000019073486,-0.06774800854943433,-0.057348340176418544,-0.05730000019073486
20010131,0.04840000152587891,-0.04840000152587891,-0.04840000152587891,-0.04840000152587891,-0.04840000152587891,-0.04840000152587891,-0.04840000152587891,-0.04840000152587891,-0.05401971632637468,-0.04844832835337146,-0.04840000152587891
20010228,0.04719999790191651,-0.04719999790191651,-0.04719999790191651,-0.04719999790191651,-0.04719999790191651,-0.04719999790191651,-0.04719999790191651,-0.04719999790191651,-0.06150910711096016,-0.04724834870578068,-0.04719999790191651
20010331,0.04179999828338623,-0.04179999828338623,-0.04179999828338623,-0.04179999828338623,-0.04179999828338623,-0.04179999828338623,-0.04179999828338623,-0.04179999828338623,-0.031015551740072665,-0.04184839772675806,-0.04179999828338623
20010430,0.038299999237060546,-0.038299999237060546,-0.038299999237060546,-0.038299999237060546,-0.038299999237060546,-0.038299999237060546,-0.038299999237060546,-0.038299999237060546,-0.04116507864389072,-0.038348342450815386,-0.038299999237060546
20010531,0.03539999961853027,-0.03539999961853027,-0.03539999961853027,-0.03539999961853027,-0.03539999961853027,-0.03539999961853027,-0.03539999961853027,-0.03539999961853027,-0.02919848168145681,-0.03544832287920026,-0.03539999961853027
20010630,0.03559999942779541,-0.03559999942779541,-0.03559999942779541,-0.03559999942779541,-0.03559999942779541,-0.03559999942779541,-0.03559999942779541,-0.03559999942779541,-0.037084216000568215,-0.03564831181012053,-0.03559999942779541
20010731,0.03440000057220459,-0.03440000057220459,-0.03440000057220459,-0.03440000057220459,-0.03440000057220459,-0.03440000057220459,-0.03440000057220459,-0.03440000057220459,-0.02882934933461765,-0.03444842429416801,-0.03440000057220459
20010831,0.03279999971389771,-0.03279999971389771,-0.03279999971389771,-0.03279999971389771,-0.03279999971389771,-0.03279999971389771,-0.03279999971389771,-0.03279999971389771,-0.028770056630234953,-0.032848212954601705,-0.03279999971389771
20010930,0.022999999523162843,-0.022999999523162843,-0.022999999523162843,-0.022999999523162843,-0.022999999523162843,-0.022999999523162843,-0.022999999523162843,-0.022999999523162843,-0.0010780113473051814,-0.02304824957872616,-0.022999999523162843
20011031,0.020099999904632567,-0.020099999904632567,-0.020099999904632567,-0.020099999904632567,-0.020099999904632567,-0.020099999904632567,-0.020099999904632567,-0.020099999904632567,-0.020109444950590777,-0.020148256103344843,-0.020099999904632567
20011130,0.017300000190734865,-0.017300000190734865,-0.017300000190734865,-0.017300000190734865,-0.017300000190734865,-0.017300000190734865,-0.017300000190734865,-0.017300000190734865,-0.01795777955586215,-0.017348355954780115,-0.017300000190734865
20011231,0.016699999570846558,-0.022075392788626965,-0.027143477022668075,-0.01812730161693654,-0.027698905245491276,-0.02171164509449608,-0.027855577547664344,-0.01813741116877991,-0.027845426229197306,-0.0345537597808714,-0.026536247544415005
